county,precinct,office,district,party,candidate,votes,absentee,absentee_mail
Bell,Page A101,Registered Voters,,,,819,,
Bell,Blackmont A102,Registered Voters,,,,698,,
Bell,Brownies Creek A103,Registered Voters,,,,526,,
Bell,Hutch A104,Registered Voters,,,,546,,
Bell,Meldrum A015,Registered Voters,,,,1013,,
Bell,Pineville East B101,Registered Voters,,,,482,,
Bell,Pineville Central B102,Registered Voters,,,,427,,
Bell,Pineville West B103,Registered Voters,,,,537,,
Bell,Arjay B104,Registered Voters,,,,764,,
Bell,Dorton Branch B105,Registered Voters,,,,361,,
Bell,Beverly B106,Registered Voters,,,,105,,
Bell,Right Fork B107,Registered Voters,,,,825,,
Bell,Straight Creek B108,Registered Voters,,,,518,,
Bell,Binghamtown C101,Registered Voters,,,,757,,
Bell,Dorchester C102,Registered Voters,,,,693,,
Bell,Noetown C103,Registered Voters,,,,767,,
Bell,Junction C104,Registered Voters,,,,1103,,
Bell,Edgewood C105,Registered Voters,,,,1352,,
Bell,City Hall D101,Registered Voters,,,,624,,
Bell,East End D102,Registered Voters,,,,1189,,
Bell,Winchester D103,Registered Voters,,,,713,,
Bell,Southside D104,Registered Voters,,,,550,,
Bell,West Central D105,Registered Voters,,,,595,,
Bell,Exeter D106,Registered Voters,,,,1034,,
Bell,Laurel A E101,Registered Voters,,,,909,,
Bell,Laurel B E102,Registered Voters,,,,436,,
Bell,Lone Jack E103,Registered Voters,,,,622,,
Bell,Greasy Creek E104,Registered Voters,,,,809,,
Bell,Clear Creek E105,Registered Voters,,,,677,,
Bell,Sutty E106,Registered Voters,,,,760,,
Bell,Absentee,Ballots Cast,,,,637,394,243
Bell,Page A101,Ballots Cast,,,,285,,
Bell,Blackmont A102,Ballots Cast,,,,297,,
Bell,Brownies Creek A103,Ballots Cast,,,,183,,
Bell,Hutch A104,Ballots Cast,,,,206,,
Bell,Meldrum A015,Ballots Cast,,,,224,,
Bell,Pineville East B101,Ballots Cast,,,,144,,
Bell,Pineville Central B102,Ballots Cast,,,,210,,
Bell,Pineville West B103,Ballots Cast,,,,238,,
Bell,Arjay B104,Ballots Cast,,,,217,,
Bell,Dorton Branch B105,Ballots Cast,,,,122,,
Bell,Beverly B106,Ballots Cast,,,,34,,
Bell,Right Fork B107,Ballots Cast,,,,311,,
Bell,Straight Creek B108,Ballots Cast,,,,162,,
Bell,Binghamtown C101,Ballots Cast,,,,271,,
Bell,Dorchester C102,Ballots Cast,,,,235,,
Bell,Noetown C103,Ballots Cast,,,,229,,
Bell,Junction C104,Ballots Cast,,,,305,,
Bell,Edgewood C105,Ballots Cast,,,,398,,
Bell,City Hall D101,Ballots Cast,,,,193,,
Bell,East End D102,Ballots Cast,,,,285,,
Bell,Winchester D103,Ballots Cast,,,,247,,
Bell,Southside D104,Ballots Cast,,,,146,,
Bell,West Central D105,Ballots Cast,,,,240,,
Bell,Exeter D106,Ballots Cast,,,,369,,
Bell,Laurel A E101,Ballots Cast,,,,337,,
Bell,Laurel B E102,Ballots Cast,,,,219,,
Bell,Lone Jack E103,Ballots Cast,,,,270,,
Bell,Greasy Creek E104,Ballots Cast,,,,308,,
Bell,Clear Creek E105,Ballots Cast,,,,243,,
Bell,Sutty E106,Ballots Cast,,,,281,,
Bell,Absentee,U.S. House,5,REP,Hal Rogers,485,312,173
Bell,Page A101,U.S. House,5,REP,Hal Rogers,236,,
Bell,Blackmont A102,U.S. House,5,REP,Hal Rogers,235,,
Bell,Brownies Creek A103,U.S. House,5,REP,Hal Rogers,167,,
Bell,Hutch A104,U.S. House,5,REP,Hal Rogers,168,,
Bell,Meldrum A015,U.S. House,5,REP,Hal Rogers,177,,
Bell,Pineville East B101,U.S. House,5,REP,Hal Rogers,107,,
Bell,Pineville Central B102,U.S. House,5,REP,Hal Rogers,172,,
Bell,Pineville West B103,U.S. House,5,REP,Hal Rogers,183,,
Bell,Arjay B104,U.S. House,5,REP,Hal Rogers,163,,
Bell,Dorton Branch B105,U.S. House,5,REP,Hal Rogers,93,,
Bell,Beverly B106,U.S. House,5,REP,Hal Rogers,29,,
Bell,Right Fork B107,U.S. House,5,REP,Hal Rogers,273,,
Bell,Straight Creek B108,U.S. House,5,REP,Hal Rogers,121,,
Bell,Binghamtown C101,U.S. House,5,REP,Hal Rogers,199,,
Bell,Dorchester C102,U.S. House,5,REP,Hal Rogers,177,,
Bell,Noetown C103,U.S. House,5,REP,Hal Rogers,169,,
Bell,Junction C104,U.S. House,5,REP,Hal Rogers,245,,
Bell,Edgewood C105,U.S. House,5,REP,Hal Rogers,306,,
Bell,City Hall D101,U.S. House,5,REP,Hal Rogers,136,,
Bell,East End D102,U.S. House,5,REP,Hal Rogers,198,,
Bell,Winchester D103,U.S. House,5,REP,Hal Rogers,201,,
Bell,Southside D104,U.S. House,5,REP,Hal Rogers,88,,
Bell,West Central D105,U.S. House,5,REP,Hal Rogers,181,,
Bell,Exeter D106,U.S. House,5,REP,Hal Rogers,283,,
Bell,Laurel A E101,U.S. House,5,REP,Hal Rogers,262,,
Bell,Laurel B E102,U.S. House,5,REP,Hal Rogers,189,,
Bell,Lone Jack E103,U.S. House,5,REP,Hal Rogers,223,,
Bell,Greasy Creek E104,U.S. House,5,REP,Hal Rogers,243,,
Bell,Clear Creek E105,U.S. House,5,REP,Hal Rogers,211,,
Bell,Sutty E106,U.S. House,5,REP,Hal Rogers,235,,
Bell,Absentee,U.S. House,5,DEM,Kenneth S. Stepp,108,60,48
Bell,Page A101,U.S. House,5,DEM,Kenneth S. Stepp,47,,
Bell,Blackmont A102,U.S. House,5,DEM,Kenneth S. Stepp,50,,
Bell,Brownies Creek A103,U.S. House,5,DEM,Kenneth S. Stepp,13,,
Bell,Hutch A104,U.S. House,5,DEM,Kenneth S. Stepp,27,,
Bell,Meldrum A015,U.S. House,5,DEM,Kenneth S. Stepp,39,,
Bell,Pineville East B101,U.S. House,5,DEM,Kenneth S. Stepp,29,,
Bell,Pineville Central B102,U.S. House,5,DEM,Kenneth S. Stepp,27,,
Bell,Pineville West B103,U.S. House,5,DEM,Kenneth S. Stepp,44,,
Bell,Arjay B104,U.S. House,5,DEM,Kenneth S. Stepp,35,,
Bell,Dorton Branch B105,U.S. House,5,DEM,Kenneth S. Stepp,22,,
Bell,Beverly B106,U.S. House,5,DEM,Kenneth S. Stepp,2,,
Bell,Right Fork B107,U.S. House,5,DEM,Kenneth S. Stepp,31,,
Bell,Straight Creek B108,U.S. House,5,DEM,Kenneth S. Stepp,29,,
Bell,Binghamtown C101,U.S. House,5,DEM,Kenneth S. Stepp,51,,
Bell,Dorchester C102,U.S. House,5,DEM,Kenneth S. Stepp,45,,
Bell,Noetown C103,U.S. House,5,DEM,Kenneth S. Stepp,42,,
Bell,Junction C104,U.S. House,5,DEM,Kenneth S. Stepp,52,,
Bell,Edgewood C105,U.S. House,5,DEM,Kenneth S. Stepp,77,,
Bell,City Hall D101,U.S. House,5,DEM,Kenneth S. Stepp,50,,
Bell,East End D102,U.S. House,5,DEM,Kenneth S. Stepp,75,,
Bell,Winchester D103,U.S. House,5,DEM,Kenneth S. Stepp,36,,
Bell,Southside D104,U.S. House,5,DEM,Kenneth S. Stepp,52,,
Bell,West Central D105,U.S. House,5,DEM,Kenneth S. Stepp,46,,
Bell,Exeter D106,U.S. House,5,DEM,Kenneth S. Stepp,68,,
Bell,Laurel A E101,U.S. House,5,DEM,Kenneth S. Stepp,61,,
Bell,Laurel B E102,U.S. House,5,DEM,Kenneth S. Stepp,26,,
Bell,Lone Jack E103,U.S. House,5,DEM,Kenneth S. Stepp,39,,
Bell,Greasy Creek E104,U.S. House,5,DEM,Kenneth S. Stepp,40,,
Bell,Clear Creek E105,U.S. House,5,DEM,Kenneth S. Stepp,26,,
Bell,Sutty E106,U.S. House,5,DEM,Kenneth S. Stepp,31,,
Bell,Absentee,State Senate,30,REP,Brandon Smith,458,300,158
Bell,Page A101,State Senate,30,REP,Brandon Smith,217,,
Bell,Blackmont A102,State Senate,30,REP,Brandon Smith,221,,
Bell,Brownies Creek A103,State Senate,30,REP,Brandon Smith,159,,
Bell,Hutch A104,State Senate,30,REP,Brandon Smith,170,,
Bell,Meldrum A015,State Senate,30,REP,Brandon Smith,162,,
Bell,Pineville East B101,State Senate,30,REP,Brandon Smith,100,,
Bell,Pineville Central B102,State Senate,30,REP,Brandon Smith,164,,
Bell,Pineville West B103,State Senate,30,REP,Brandon Smith,181,,
Bell,Arjay B104,State Senate,30,REP,Brandon Smith,150,,
Bell,Dorton Branch B105,State Senate,30,REP,Brandon Smith,87,,
Bell,Beverly B106,State Senate,30,REP,Brandon Smith,27,,
Bell,Right Fork B107,State Senate,30,REP,Brandon Smith,255,,
Bell,Straight Creek B108,State Senate,30,REP,Brandon Smith,113,,
Bell,Binghamtown C101,State Senate,30,REP,Brandon Smith,192,,
Bell,Dorchester C102,State Senate,30,REP,Brandon Smith,173,,
Bell,Noetown C103,State Senate,30,REP,Brandon Smith,151,,
Bell,Junction C104,State Senate,30,REP,Brandon Smith,217,,
Bell,Edgewood C105,State Senate,30,REP,Brandon Smith,302,,
Bell,City Hall D101,State Senate,30,REP,Brandon Smith,132,,
Bell,East End D102,State Senate,30,REP,Brandon Smith,180,,
Bell,Winchester D103,State Senate,30,REP,Brandon Smith,184,,
Bell,Southside D104,State Senate,30,REP,Brandon Smith,74,,
Bell,West Central D105,State Senate,30,REP,Brandon Smith,173,,
Bell,Exeter D106,State Senate,30,REP,Brandon Smith,266,,
Bell,Laurel A E101,State Senate,30,REP,Brandon Smith,252,,
Bell,Laurel B E102,State Senate,30,REP,Brandon Smith,182,,
Bell,Lone Jack E103,State Senate,30,REP,Brandon Smith,206,,
Bell,Greasy Creek E104,State Senate,30,REP,Brandon Smith,216,,
Bell,Clear Creek E105,State Senate,30,REP,Brandon Smith,199,,
Bell,Sutty E106,State Senate,30,REP,Brandon Smith,221,,
Bell,Absentee,State Senate,30,DEM,Paula Clemons-Combs,140,67,73
Bell,Page A101,State Senate,30,DEM,Paula Clemons-Combs,53,,
Bell,Blackmont A102,State Senate,30,DEM,Paula Clemons-Combs,52,,
Bell,Brownies Creek A103,State Senate,30,DEM,Paula Clemons-Combs,14,,
Bell,Hutch A104,State Senate,30,DEM,Paula Clemons-Combs,24,,
Bell,Meldrum A015,State Senate,30,DEM,Paula Clemons-Combs,49,,
Bell,Pineville East B101,State Senate,30,DEM,Paula Clemons-Combs,35,,
Bell,Pineville Central B102,State Senate,30,DEM,Paula Clemons-Combs,34,,
Bell,Pineville West B103,State Senate,30,DEM,Paula Clemons-Combs,40,,
Bell,Arjay B104,State Senate,30,DEM,Paula Clemons-Combs,37,,
Bell,Dorton Branch B105,State Senate,30,DEM,Paula Clemons-Combs,30,,
Bell,Beverly B106,State Senate,30,DEM,Paula Clemons-Combs,3,,
Bell,Right Fork B107,State Senate,30,DEM,Paula Clemons-Combs,46,,
Bell,Straight Creek B108,State Senate,30,DEM,Paula Clemons-Combs,35,,
Bell,Binghamtown C101,State Senate,30,DEM,Paula Clemons-Combs,53,,
Bell,Dorchester C102,State Senate,30,DEM,Paula Clemons-Combs,45,,
Bell,Noetown C103,State Senate,30,DEM,Paula Clemons-Combs,51,,
Bell,Junction C104,State Senate,30,DEM,Paula Clemons-Combs,67,,
Bell,Edgewood C105,State Senate,30,DEM,Paula Clemons-Combs,81,,
Bell,City Hall D101,State Senate,30,DEM,Paula Clemons-Combs,47,,
Bell,East End D102,State Senate,30,DEM,Paula Clemons-Combs,85,,
Bell,Winchester D103,State Senate,30,DEM,Paula Clemons-Combs,44,,
Bell,Southside D104,State Senate,30,DEM,Paula Clemons-Combs,55,,
Bell,West Central D105,State Senate,30,DEM,Paula Clemons-Combs,51,,
Bell,Exeter D106,State Senate,30,DEM,Paula Clemons-Combs,70,,
Bell,Laurel A E101,State Senate,30,DEM,Paula Clemons-Combs,67,,
Bell,Laurel B E102,State Senate,30,DEM,Paula Clemons-Combs,28,,
Bell,Lone Jack E103,State Senate,30,DEM,Paula Clemons-Combs,52,,
Bell,Greasy Creek E104,State Senate,30,DEM,Paula Clemons-Combs,64,,
Bell,Clear Creek E105,State Senate,30,DEM,Paula Clemons-Combs,30,,
Bell,Sutty E106,State Senate,30,DEM,Paula Clemons-Combs,37,,
Bell,Absentee,State House,87,REP,Adam Bowling,443,279,164
Bell,Page A101,State House,87,REP,Adam Bowling,203,,
Bell,Blackmont A102,State House,87,REP,Adam Bowling,190,,
Bell,Brownies Creek A103,State House,87,REP,Adam Bowling,145,,
Bell,Hutch A104,State House,87,REP,Adam Bowling,164,,
Bell,Meldrum A015,State House,87,REP,Adam Bowling,156,,
Bell,Pineville East B101,State House,87,REP,Adam Bowling,92,,
Bell,Pineville Central B102,State House,87,REP,Adam Bowling,147,,
Bell,Pineville West B103,State House,87,REP,Adam Bowling,162,,
Bell,Arjay B104,State House,87,REP,Adam Bowling,146,,
Bell,Dorton Branch B105,State House,87,REP,Adam Bowling,73,,
Bell,Beverly B106,State House,87,REP,Adam Bowling,26,,
Bell,Right Fork B107,State House,87,REP,Adam Bowling,239,,
Bell,Straight Creek B108,State House,87,REP,Adam Bowling,102,,
Bell,Binghamtown C101,State House,87,REP,Adam Bowling,201,,
Bell,Dorchester C102,State House,87,REP,Adam Bowling,186,,
Bell,Noetown C103,State House,87,REP,Adam Bowling,155,,
Bell,Junction C104,State House,87,REP,Adam Bowling,223,,
Bell,Edgewood C105,State House,87,REP,Adam Bowling,315,,
Bell,City Hall D101,State House,87,REP,Adam Bowling,143,,
Bell,East End D102,State House,87,REP,Adam Bowling,204,,
Bell,Winchester D103,State House,87,REP,Adam Bowling,182,,
Bell,Southside D104,State House,87,REP,Adam Bowling,89,,
Bell,West Central D105,State House,87,REP,Adam Bowling,177,,
Bell,Exeter D106,State House,87,REP,Adam Bowling,285,,
Bell,Laurel A E101,State House,87,REP,Adam Bowling,236,,
Bell,Laurel B E102,State House,87,REP,Adam Bowling,177,,
Bell,Lone Jack E103,State House,87,REP,Adam Bowling,146,,
Bell,Greasy Creek E104,State House,87,REP,Adam Bowling,121,,
Bell,Clear Creek E105,State House,87,REP,Adam Bowling,171,,
Bell,Sutty E106,State House,87,REP,Adam Bowling,228,,
Bell,Absentee,State House,87,DEM,Dustin Allen,147,82,65
Bell,Page A101,State House,87,DEM,Dustin Allen,68,,
Bell,Blackmont A102,State House,87,DEM,Dustin Allen,88,,
Bell,Brownies Creek A103,State House,87,DEM,Dustin Allen,28,,
Bell,Hutch A104,State House,87,DEM,Dustin Allen,32,,
Bell,Meldrum A015,State House,87,DEM,Dustin Allen,58,,
Bell,Pineville East B101,State House,87,DEM,Dustin Allen,41,,
Bell,Pineville Central B102,State House,87,DEM,Dustin Allen,51,,
Bell,Pineville West B103,State House,87,DEM,Dustin Allen,63,,
Bell,Arjay B104,State House,87,DEM,Dustin Allen,45,,
Bell,Dorton Branch B105,State House,87,DEM,Dustin Allen,40,,
Bell,Beverly B106,State House,87,DEM,Dustin Allen,4,,
Bell,Right Fork B107,State House,87,DEM,Dustin Allen,55,,
Bell,Straight Creek B108,State House,87,DEM,Dustin Allen,40,,
Bell,Binghamtown C101,State House,87,DEM,Dustin Allen,53,,
Bell,Dorchester C102,State House,87,DEM,Dustin Allen,45,,
Bell,Noetown C103,State House,87,DEM,Dustin Allen,52,,
Bell,Junction C104,State House,87,DEM,Dustin Allen,70,,
Bell,Edgewood C105,State House,87,DEM,Dustin Allen,76,,
Bell,City Hall D101,State House,87,DEM,Dustin Allen,42,,
Bell,East End D102,State House,87,DEM,Dustin Allen,71,,
Bell,Winchester D103,State House,87,DEM,Dustin Allen,54,,
Bell,Southside D104,State House,87,DEM,Dustin Allen,51,,
Bell,West Central D105,State House,87,DEM,Dustin Allen,49,,
Bell,Exeter D106,State House,87,DEM,Dustin Allen,68,,
Bell,Laurel A E101,State House,87,DEM,Dustin Allen,85,,
Bell,Laurel B E102,State House,87,DEM,Dustin Allen,31,,
Bell,Lone Jack E103,State House,87,DEM,Dustin Allen,113,,
Bell,Greasy Creek E104,State House,87,DEM,Dustin Allen,174,,
Bell,Clear Creek E105,State House,87,DEM,Dustin Allen,58,,
Bell,Sutty E106,State House,87,DEM,Dustin Allen,32,,