county,precinct,office,district,party,candidate,eslate,escan,mail_in,walk_in,votes
Carroll,Absentee,Straight Party,,REP,Republican,,,3,,3
Carroll,Absentee,Straight Party,,DEM,Democratic,,,14,,14
Carroll,Absentee,U.S. House,4,REP,Thomas Massie,,,31,84,115
Carroll,Absentee,U.S. House,4,DEM,Seth Hall,,,29,63,92
Carroll,Absentee,U.S. House,4,LIB,Mike Moffett,,,6,5,11
Carroll,Absentee,State Senate,20,REP,Paul R. Hornback,,,38,73,111
Carroll,Absentee,State Senate,20,DEM,Dave Suetholz,,,36,81,117
Carroll,Absentee,State Representative,47,REP,Mark A Gilkison,,,19,59,78
Carroll,Absentee,State Representative,47,DEM,Rick W. Rand,,,66,97,163
Carroll,County Garage,Straight Party,,REP,Republican,14,27,,,41
Carroll,County Garage,Straight Party,,DEM,Democratic,26,31,,,57
Carroll,County Garage,U.S. House,4,REP,Thomas Massie,80,104,,,184
Carroll,County Garage,U.S. House,4,DEM,Seth Hall,56,65,,,121
Carroll,County Garage,U.S. House,4,LIB,Mike Moffett,3,3,,,6
Carroll,County Garage,State Senate,20,REP,Paul R. Hornback,82,106,,,188
Carroll,County Garage,State Senate,20,DEM,Dave Suetholz,56,71,,,127
Carroll,County Garage,State Representative,47,REP,Mark A Gilkison,54,71,,,125
Carroll,County Garage,State Representative,47,DEM,Rick W. Rand,89,105,,,194
Carroll,Westside Fire Dept.,Straight Party,,REP,Republican,22,50,,,72
Carroll,Westside Fire Dept.,Straight Party,,DEM,Democratic,17,64,,,81
Carroll,Westside Fire Dept.,U.S. House,4,REP,Thomas Massie,88,164,,,252
Carroll,Westside Fire Dept.,U.S. House,4,DEM,Seth Hall,37,125,,,162
Carroll,Westside Fire Dept.,U.S. House,4,LIB,Mike Moffett,4,4,,,8
Carroll,Westside Fire Dept.,State Senate,20,REP,Paul R. Hornback,80,155,,,235
Carroll,Westside Fire Dept.,State Senate,20,DEM,Dave Suetholz,48,144,,,192
Carroll,Westside Fire Dept.,State Representative,47,REP,Mark A Gilkison,62,119,,,181
Carroll,Westside Fire Dept.,State Representative,47,DEM,Rick W. Rand,69,183,,,252
Carroll,Public Library,Straight Party,,REP,Republican,,,,,0
Carroll,Public Library,Straight Party,,DEM,Democratic,,,,,0
Carroll,Public Library,U.S. House,4,REP,Thomas Massie,80,97,,,177
Carroll,Public Library,U.S. House,4,DEM,Seth Hall,63,98,,,161
Carroll,Public Library,U.S. House,4,LIB,Mike Moffett,4,16,,,20
Carroll,Public Library,State Senate,20,REP,Paul R. Hornback,63,94,,,157
Carroll,Public Library,State Senate,20,DEM,Dave Suetholz,85,125,,,210
Carroll,Public Library,State Representative,47,REP,Mark A Gilkison,53,74,,,127
Carroll,Public Library,State Representative,47,DEM,Rick W. Rand,94,149,,,243
Carroll,Hawkins St. Housing Authority,Straight Party,,REP,Republican,6,24,,,30
Carroll,Hawkins St. Housing Authority,Straight Party,,DEM,Democratic,10,37,,,47
Carroll,Hawkins St. Housing Authority,U.S. House,4,REP,Thomas Massie,37,79,,,116
Carroll,Hawkins St. Housing Authority,U.S. House,4,DEM,Seth Hall,33,74,,,107
Carroll,Hawkins St. Housing Authority,U.S. House,4,LIB,Mike Moffett,2,5,,,7
Carroll,Hawkins St. Housing Authority,State Senate,20,REP,Paul R. Hornback,29,79,,,108
Carroll,Hawkins St. Housing Authority,State Senate,20,DEM,Dave Suetholz,45,85,,,130
Carroll,Hawkins St. Housing Authority,State Representative,47,REP,Mark A Gilkison,21,69,,,90
Carroll,Hawkins St. Housing Authority,State Representative,47,DEM,Rick W. Rand,53,98,,,151
Carroll,City Bldg. Rear Entrance,Straight Party,,REP,Republican,,,,,0
Carroll,City Bldg. Rear Entrance,Straight Party,,DEM,Democratic,,,,,0
Carroll,City Bldg. Rear Entrance,U.S. House,4,REP,Thomas Massie,66,72,,,138
Carroll,City Bldg. Rear Entrance,U.S. House,4,DEM,Seth Hall,64,63,,,127
Carroll,City Bldg. Rear Entrance,U.S. House,4,LIB,Mike Moffett,3,3,,,6
Carroll,City Bldg. Rear Entrance,State Senate,20,REP,Paul R. Hornback,63,61,,,124
Carroll,City Bldg. Rear Entrance,State Senate,20,DEM,Dave Suetholz,75,80,,,155
Carroll,City Bldg. Rear Entrance,State Representative,47,REP,Mark A Gilkison,50,47,,,97
Carroll,City Bldg. Rear Entrance,State Representative,47,DEM,Rick W. Rand,97,97,,,194
Carroll,Mason's Bldg.,Straight Party,,REP,Republican,17,21,,,38
Carroll,Mason's Bldg.,Straight Party,,DEM,Democratic,18,33,,,51
Carroll,Mason's Bldg.,U.S. House,4,REP,Thomas Massie,61,72,,,133
Carroll,Mason's Bldg.,U.S. House,4,DEM,Seth Hall,40,64,,,104
Carroll,Mason's Bldg.,U.S. House,4,LIB,Mike Moffett,1,6,,,7
Carroll,Mason's Bldg.,State Senate,20,REP,Paul R. Hornback,53,66,,,119
Carroll,Mason's Bldg.,State Senate,20,DEM,Dave Suetholz,53,83,,,136
Carroll,Mason's Bldg.,State Representative,47,REP,Mark A Gilkison,35,48,,,83
Carroll,Mason's Bldg.,State Representative,47,DEM,Rick W. Rand,71,103,,,174
Carroll,Worthville Town Hall,Straight Party,,REP,Republican,8,14,,,22
Carroll,Worthville Town Hall,Straight Party,,DEM,Democratic,8,13,,,21
Carroll,Worthville Town Hall,U.S. House,4,REP,Thomas Massie,39,35,,,74
Carroll,Worthville Town Hall,U.S. House,4,DEM,Seth Hall,28,24,,,52
Carroll,Worthville Town Hall,U.S. House,4,LIB,Mike Moffett,3,2,,,5
Carroll,Worthville Town Hall,State Senate,20,REP,Paul R. Hornback,43,36,,,79
Carroll,Worthville Town Hall,State Senate,20,DEM,Dave Suetholz,30,26,,,56
Carroll,Worthville Town Hall,State Representative,47,REP,Mark A Gilkison,34,30,,,64
Carroll,Worthville Town Hall,State Representative,47,DEM,Rick W. Rand,35,30,,,65
Carroll,Worthville Fire Department,Straight Party,,REP,Republican,8,8,,,16
Carroll,Worthville Fire Department,Straight Party,,DEM,Democratic,8,3,,,11
Carroll,Worthville Fire Department,U.S. House,4,REP,Thomas Massie,34,23,,,57
Carroll,Worthville Fire Department,U.S. House,4,DEM,Seth Hall,25,6,,,31
Carroll,Worthville Fire Department,U.S. House,4,LIB,Mike Moffett,1,1,,,2
Carroll,Worthville Fire Department,State Senate,20,REP,Paul R. Hornback,36,27,,,63
Carroll,Worthville Fire Department,State Senate,20,DEM,Dave Suetholz,25,5,,,30
Carroll,Worthville Fire Department,State Representative,47,REP,Mark A Gilkison,23,17,,,40
Carroll,Worthville Fire Department,State Representative,47,DEM,Rick W. Rand,37,16,,,53
Carroll,Sanders Fire Department,Straight Party,,REP,Republican,4,18,,,22
Carroll,Sanders Fire Department,Straight Party,,DEM,Democratic,5,20,,,25
Carroll,Sanders Fire Department,U.S. House,4,REP,Thomas Massie,39,68,,,107
Carroll,Sanders Fire Department,U.S. House,4,DEM,Seth Hall,7,23,,,30
Carroll,Sanders Fire Department,U.S. House,4,LIB,Mike Moffett,0,5,,,5
Carroll,Sanders Fire Department,State Senate,20,REP,Paul R. Hornback,27,61,,,88
Carroll,Sanders Fire Department,State Senate,20,DEM,Dave Suetholz,18,36,,,54
Carroll,Sanders Fire Department,State Representative,47,REP,Mark A Gilkison,12,44,,,56
Carroll,Sanders Fire Department,State Representative,47,DEM,Rick W. Rand,34,56,,,90
Carroll,Ghent Fire Dept.,Straight Party,,REP,Republican,27,31,,,58
Carroll,Ghent Fire Dept.,Straight Party,,DEM,Democratic,17,41,,,58
Carroll,Ghent Fire Dept.,U.S. House,4,REP,Thomas Massie,80,127,,,207
Carroll,Ghent Fire Dept.,U.S. House,4,DEM,Seth Hall,37,55,,,92
Carroll,Ghent Fire Dept.,U.S. House,4,LIB,Mike Moffett,2,4,,,6
Carroll,Ghent Fire Dept.,State Senate,20,REP,Paul R. Hornback,76,112,,,188
Carroll,Ghent Fire Dept.,State Senate,20,DEM,Dave Suetholz,43,77,,,120
Carroll,Ghent Fire Dept.,State Representative,47,REP,Mark A Gilkison,58,76,,,134
Carroll,Ghent Fire Dept.,State Representative,47,DEM,Rick W. Rand,63,112,,,175
Carroll,Airport Road Fire Dept.,Straight Party,,REP,Republican,23,53,,,76
Carroll,Airport Road Fire Dept.,Straight Party,,DEM,Democratic,13,96,,,109
Carroll,Airport Road Fire Dept.,U.S. House,4,REP,Thomas Massie,92,252,,,344
Carroll,Airport Road Fire Dept.,U.S. House,4,DEM,Seth Hall,48,223,,,271
Carroll,Airport Road Fire Dept.,U.S. House,4,LIB,Mike Moffett,2,14,,,16
Carroll,Airport Road Fire Dept.,State Senate,20,REP,Paul R. Hornback,81,245,,,326
Carroll,Airport Road Fire Dept.,State Senate,20,DEM,Dave Suetholz,67,254,,,321
Carroll,Airport Road Fire Dept.,State Representative,47,REP,Mark A Gilkison,61,173,,,234
Carroll,Airport Road Fire Dept.,State Representative,47,DEM,Rick W. Rand,87,331,,,418