county,precinct,office,district,party,candidate,eslate,escan,votes,mail,walk_in
Monroe,Absentee,U.S. House,1,REP,James R. Comer,,,193,41,152
Monroe,Absentee,U.S. House,1,DEM,Paul Walker,,,20,7,13
Monroe,Absentee,State House,21,,Bart Rowland,,,176,41,135
Monroe,Absentee,State House,21,,Jarrett Cox,,,32,7,25
Monroe,Fountain,U.S. House,1,REP,James R. Comer,0,127,127,,
Monroe,Fountain,U.S. House,1,DEM,Paul Walker,2,17,19,,
Monroe,Fountain,State House,21,,Bart Rowland,0,111,111,,
Monroe,Fountain,State House,21,,Jarrett Cox,2,26,28,,
Monroe,Gamaliel,U.S. House,1,REP,James R. Comer,3,487,490,,
Monroe,Gamaliel,U.S. House,1,DEM,Paul Walker,0,46,46,,
Monroe,Gamaliel,State House,21,,Bart Rowland,2,440,442,,
Monroe,Gamaliel,State House,21,,Jarrett Cox,0,72,72,,
Monroe,White Oak Ridge,U.S. House,1,REP,James R. Comer,1,71,72,,
Monroe,White Oak Ridge,U.S. House,1,DEM,Paul Walker,0,6,6,,
Monroe,White Oak Ridge,State House,21,,Bart Rowland,1,62,63,,
Monroe,White Oak Ridge,State House,21,,Jarrett Cox,0,13,13,,
Monroe,Gum Tree,U.S. House,1,REP,James R. Comer,,408,408,,
Monroe,Gum Tree,U.S. House,1,DEM,Paul Walker,,23,23,,
Monroe,Gum Tree,State House,21,,Bart Rowland,,379,379,,
Monroe,Gum Tree,State House,21,,Jarrett Cox,,44,44,,
Monroe,Poplar Log,U.S. House,1,REP,James R. Comer,,230,230,,
Monroe,Poplar Log,U.S. House,1,DEM,Paul Walker,,42,42,,
Monroe,Poplar Log,State House,21,,Bart Rowland,,214,214,,
Monroe,Poplar Log,State House,21,,Jarrett Cox,,52,52,,
Monroe,Rock Bridge,U.S. House,1,REP,James R. Comer,,385,385,,
Monroe,Rock Bridge,U.S. House,1,DEM,Paul Walker,,24,24,,
Monroe,Rock Bridge,State House,21,,Bart Rowland,,340,340,,
Monroe,Rock Bridge,State House,21,,Jarrett Cox,,57,57,,
Monroe,Sulphur Lick,U.S. House,1,REP,James R. Comer,,194,194,,
Monroe,Sulphur Lick,U.S. House,1,DEM,Paul Walker,,13,13,,
Monroe,Sulphur Lick,State House,21,,Bart Rowland,,162,162,,
Monroe,Sulphur Lick,State House,21,,Jarrett Cox,,33,33,,
Monroe,Northwest Tompkinsville,U.S. House,1,REP,James R. Comer,,316,316,,
Monroe,Northwest Tompkinsville,U.S. House,1,DEM,Paul Walker,,34,34,,
Monroe,Northwest Tompkinsville,State House,21,,Bart Rowland,,267,267,,
Monroe,Northwest Tompkinsville,State House,21,,Jarrett Cox,,71,71,,
Monroe,West Tompkinsville,U.S. House,1,REP,James R. Comer,,334,334,,
Monroe,West Tompkinsville,U.S. House,1,DEM,Paul Walker,,31,31,,
Monroe,West Tompkinsville,State House,21,,Bart Rowland,,278,278,,
Monroe,West Tompkinsville,State House,21,,Jarrett Cox,,68,68,,
Monroe,Courthouse,U.S. House,1,REP,James R. Comer,,412,412,,
Monroe,Courthouse,U.S. House,1,DEM,Paul Walker,,64,64,,
Monroe,Courthouse,State House,21,,Bart Rowland,,368,368,,
Monroe,Courthouse,State House,21,,Jarrett Cox,,3,3,,
Monroe,East Tompkinsville,U.S. House,1,REP,James R. Comer,,301,301,,
Monroe,East Tompkinsville,U.S. House,1,DEM,Paul Walker,,34,34,,
Monroe,East Tompkinsville,State House,21,,Bart Rowland,,261,261,,
Monroe,East Tompkinsville,State House,21,,Jarrett Cox,,62,62,,
Monroe,North Tompkinsville,U.S. House,1,REP,James R. Comer,,381,381,,
Monroe,North Tompkinsville,U.S. House,1,DEM,Paul Walker,,30,30,,
Monroe,North Tompkinsville,State House,21,,Bart Rowland,,340,340,,
Monroe,North Tompkinsville,State House,21,,Jarrett Cox,,65,65,,