county,precinct,candidate,office,district,party,votes,absentee_mail,absentee_walk_in
Pulaski,Absentee,,Ballots Cast,,DEM ,1321,306,1015
Pulaski,Absentee,,Straight Party,,REP,449,126,323
Pulaski,Absentee,,Straight Party,,DEM ,77,23,54
Pulaski,Absentee,"Harold ""Hal"" Rogers ",U.S. House,5,REP,1070,253,817
Pulaski,Absentee,Kenneth S Stepp,U.S. House,5,DEM ,212,50,162
Pulaski,Absentee,Billy Ray Wilson ,U.S. House,5,W,0,0,0
Pulaski,Absentee,Ken Upchurch ,State Representative,52,REP,119,40,79
Pulaski,Absentee,Dean Sumpter,State Representative,52,DEM ,34,8,26
Pulaski,Absentee,David Meade,State Representative,80,REP,279,84,195
Pulaski,Absentee,Jeff Hoover,State Representative,83,REP,196,40,156
Pulaski,Absentee,Tommy Turner,State Representative,85,REP,418,80,338
Pulaski,A101 West Somerset 5B,,Ballots Cast,,DEM ,165,,
Pulaski,A101 West Somerset 5B,,Registered Voters,,REP,475,,
Pulaski,A101 West Somerset 5B,,Straight Party,,REP,44,,
Pulaski,A101 West Somerset 5B,,Straight Party,,DEM ,11,,
Pulaski,A101 West Somerset 5B,"Harold ""Hal"" Rogers ",U.S. House,5,REP,130,,
Pulaski,A101 West Somerset 5B,Kenneth S Stepp,U.S. House,5,DEM ,30,,
Pulaski,A101 West Somerset 5B,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A101 West Somerset 5B,David Meade,State Representative,80,REP,123,,
Pulaski,A102 Saline 11,,Ballots Cast,,DEM ,643,,
Pulaski,A102 Saline 11,,Registered Voters,,REP,1488,,
Pulaski,A102 Saline 11,,Straight Party,,REP,183,,
Pulaski,A102 Saline 11,,Straight Party,,DEM ,39,,
Pulaski,A102 Saline 11,"Harold ""Hal"" Rogers ",U.S. House,5,REP,534,,
Pulaski,A102 Saline 11,Kenneth S Stepp,U.S. House,5,DEM ,94,,
Pulaski,A102 Saline 11,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A102 Saline 11,David Meade,State Representative,80,REP,496,,
Pulaski,A103 Nancy 15,,Ballots Cast,,DEM ,771,,
Pulaski,A103 Nancy 15,,Registered Voters,,REP,1522,,
Pulaski,A103 Nancy 15,,Straight Party,,REP,198,,
Pulaski,A103 Nancy 15,,Straight Party,,DEM ,19,,
Pulaski,A103 Nancy 15,"Harold ""Hal"" Rogers ",U.S. House,5,REP,640,,
Pulaski,A103 Nancy 15,Kenneth S Stepp,U.S. House,5,DEM ,98,,
Pulaski,A103 Nancy 15,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A103 Nancy 15,Jeff Hoover,State Representative,83,REP,598,,
Pulaski,A104 Harrison 17,,Ballots Cast,,DEM ,212,,
Pulaski,A104 Harrison 17,,Registered Voters,,REP,481,,
Pulaski,A104 Harrison 17,,Straight Party,,REP,61,,
Pulaski,A104 Harrison 17,,Straight Party,,DEM ,2,,
Pulaski,A104 Harrison 17,"Harold ""Hal"" Rogers ",U.S. House,5,REP,181,,
Pulaski,A104 Harrison 17,Kenneth S Stepp,U.S. House,5,DEM ,18,,
Pulaski,A104 Harrison 17,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A104 Harrison 17,Jeff Hoover,State Representative,83,REP,160,,
Pulaski,A105 Som 3B Courthouse,,Ballots Cast,,DEM ,178,,
Pulaski,A105 Som 3B Courthouse,,Registered Voters,,REP,557,,
Pulaski,A105 Som 3B Courthouse,,Straight Party,,REP,45,,
Pulaski,A105 Som 3B Courthouse,,Straight Party,,DEM ,11,,
Pulaski,A105 Som 3B Courthouse,"Harold ""Hal"" Rogers ",U.S. House,5,REP,131,,
Pulaski,A105 Som 3B Courthouse,Kenneth S Stepp,U.S. House,5,DEM ,43,,
Pulaski,A105 Som 3B Courthouse,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A105 Som 3B Courthouse,David Meade,State Representative,80,REP,125,,
Pulaski,A106 FireBrooke 11F,,Ballots Cast,,DEM ,1111,,
Pulaski,A106 FireBrooke 11F,,Registered Voters,,REP,2334,,
Pulaski,A106 FireBrooke 11F,,Straight Party,,REP,332,,
Pulaski,A106 FireBrooke 11F,,Straight Party,,DEM ,65,,
Pulaski,A106 FireBrooke 11F,"Harold ""Hal"" Rogers ",U.S. House,5,REP,912,,
Pulaski,A106 FireBrooke 11F,Kenneth S Stepp,U.S. House,5,DEM ,168,,
Pulaski,A106 FireBrooke 11F,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A106 FireBrooke 11F,Jeff Hoover,State Representative,83,REP,860,,
Pulaski,A108 Oak Hill 11,,Ballots Cast,,DEM ,834,,
Pulaski,A108 Oak Hill 11,,Registered Voters,,REP,2028,,
Pulaski,A108 Oak Hill 11,,Straight Party,,REP,245,,
Pulaski,A108 Oak Hill 11,,Straight Party,,DEM ,36,,
Pulaski,A108 Oak Hill 11,"Harold ""Hal"" Rogers ",U.S. House,5,REP,685,,
Pulaski,A108 Oak Hill 11,Kenneth S Stepp,U.S. House,5,DEM ,124,,
Pulaski,A108 Oak Hill 11,Billy Ray Wilson ,U.S. House,5,W,1,,
Pulaski,A108 Oak Hill 11,Jeff Hoover,State Representative,83,REP,643,,
Pulaski,A110-Okolona 16,,Ballots Cast,,DEM ,255,,
Pulaski,A110-Okolona 16,,Registered Voters,,REP,549,,
Pulaski,A110-Okolona 16,,Straight Party,,REP,75,,
Pulaski,A110-Okolona 16,,Straight Party,,DEM ,14,,
Pulaski,A110-Okolona 16,"Harold ""Hal"" Rogers ",U.S. House,5,REP,197,,
Pulaski,A110-Okolona 16,Kenneth S Stepp,U.S. House,5,DEM ,44,,
Pulaski,A110-Okolona 16,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A110-Okolona 16,Ken Upchurch ,State Representative,52,REP,200,,
Pulaski,A110-Okolona 16,Dean Sumpter,State Representative,52,DEM ,31,,
Pulaski,A111-Naomi East 44,,Ballots Cast,,DEM ,91,,
Pulaski,A111-Naomi East 44,,Registered Voters,,REP,215,,
Pulaski,A111-Naomi East 44,,Straight Party,,REP,36,,
Pulaski,A111-Naomi East 44,,Straight Party,,DEM ,5,,
Pulaski,A111-Naomi East 44,"Harold ""Hal"" Rogers ",U.S. House,5,REP,71,,
Pulaski,A111-Naomi East 44,Kenneth S Stepp,U.S. House,5,DEM ,16,,
Pulaski,A111-Naomi East 44,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A111-Naomi East 44,Ken Upchurch ,State Representative,52,REP,75,,
Pulaski,A111-Naomi East 44,Dean Sumpter,State Representative,52,DEM ,14,,
Pulaski,A112-Naomi West 44,,Ballots Cast,,DEM ,178,,
Pulaski,A112-Naomi West 44,,Registered Voters,,REP,335,,
Pulaski,A112-Naomi West 44,,Straight Party,,REP,34,,
Pulaski,A112-Naomi West 44,,Straight Party,,DEM ,8,,
Pulaski,A112-Naomi West 44,Kenneth S Stepp,U.S. House,5,DEM ,138,,
Pulaski,A112-Naomi West 44,Billy Ray Wilson ,U.S. House,5,W,32,,
Pulaski,A112-Naomi West 44,Ken Upchurch ,State Representative,52,REP,0,,
Pulaski,A112-Naomi West 44,Jeff Hoover,State Representative,83,REP,134,,
Pulaski,B101 Girdler-12,,Ballots Cast,,DEM ,245,,
Pulaski,B101 Girdler-12,,Registered Voters,,REP,659,,
Pulaski,B101 Girdler-12,,Straight Party,,REP,84,,
Pulaski,B101 Girdler-12,,Straight Party,,DEM ,13,,
Pulaski,B101 Girdler-12,"Harold ""Hal"" Rogers ",U.S. House,5,REP,206,,
Pulaski,B101 Girdler-12,Kenneth S Stepp,U.S. House,5,DEM ,35,,
Pulaski,B101 Girdler-12,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B101 Girdler-12,David Meade,State Representative,80,REP,211,,
Pulaski,B102 Hickory Nut 19,,Ballots Cast,,DEM ,137,,
Pulaski,B102 Hickory Nut 19,,Registered Voters,,REP,277,,
Pulaski,B102 Hickory Nut 19,,Straight Party,,REP,35,,
Pulaski,B102 Hickory Nut 19,,Straight Party,,DEM ,2,,
Pulaski,B102 Hickory Nut 19,"Harold ""Hal"" Rogers ",U.S. House,5,REP,116,,
Pulaski,B102 Hickory Nut 19,Kenneth S Stepp,U.S. House,5,DEM ,10,,
Pulaski,B102 Hickory Nut 19,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B102 Hickory Nut 19,Jeff Hoover,State Representative,83,REP,108,,
Pulaski,B103 Ansel 21,,Ballots Cast,,DEM ,206,,
Pulaski,B103 Ansel 21,,Registered Voters,,REP,488,,
Pulaski,B103 Ansel 21,,Straight Party,,REP,72,,
Pulaski,B103 Ansel 21,,Straight Party,,DEM ,6,,
Pulaski,B103 Ansel 21,"Harold ""Hal"" Rogers ",U.S. House,5,REP,178,,
Pulaski,B103 Ansel 21,Kenneth S Stepp,U.S. House,5,DEM ,21,,
Pulaski,B103 Ansel 21,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B103 Ansel 21,David Meade,State Representative,80,REP,163,,
Pulaski,B104 Science Hill City 22,,Ballots Cast,,DEM ,258,,
Pulaski,B104 Science Hill City 22,,Registered Voters,,REP,531,,
Pulaski,B104 Science Hill City 22,,Straight Party,,REP,87,,
Pulaski,B104 Science Hill City 22,,Straight Party,,DEM ,11,,
Pulaski,B104 Science Hill City 22,"Harold ""Hal"" Rogers ",U.S. House,5,REP,210,,
Pulaski,B104 Science Hill City 22,Kenneth S Stepp,U.S. House,5,DEM ,40,,
Pulaski,B104 Science Hill City 22,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B104 Science Hill City 22,Tommy Turner,State Representative,85,REP,196,,
Pulaski,B104 Science Hill City 22,Mona Hampton-Eldridge,State Representative,85,W,39,,
Pulaski,B105 Science Hill Co 23,,Ballots Cast,,DEM ,509,,
Pulaski,B105 Science Hill Co 23,,Registered Voters,,REP,1052,,
Pulaski,B105 Science Hill Co 23,,Straight Party,,REP,162,,
Pulaski,B105 Science Hill Co 23,,Straight Party,,DEM ,18,,
Pulaski,B105 Science Hill Co 23,"Harold ""Hal"" Rogers ",U.S. House,5,REP,447,,
Pulaski,B105 Science Hill Co 23,Kenneth S Stepp,U.S. House,5,DEM ,54,,
Pulaski,B105 Science Hill Co 23,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B105 Science Hill Co 23,Tommy Turner,State Representative,85,REP,402,,
Pulaski,B105 Science Hill Co 23,Mona Hampton-Eldridge,State Representative,85,W,56,,
Pulaski,B106 Buncombe 24,,Ballots Cast,,DEM ,361,,
Pulaski,B106 Buncombe 24,,Registered Voters,,REP,898,,
Pulaski,B106 Buncombe 24,,Straight Party,,REP,116,,
Pulaski,B106 Buncombe 24,,Straight Party,,DEM ,15,,
Pulaski,B106 Buncombe 24,"Harold ""Hal"" Rogers ",U.S. House,5,REP,302,,
Pulaski,B106 Buncombe 24,Kenneth S Stepp,U.S. House,5,DEM ,46,,
Pulaski,B106 Buncombe 24,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B106 Buncombe 24,David Meade,State Representative,80,REP,269,,
Pulaski,B107 Som 1 Courthouse,,Ballots Cast,,DEM ,283,,
Pulaski,B107 Som 1 Courthouse,,Registered Voters,,REP,663,,
Pulaski,B107 Som 1 Courthouse,,Straight Party,,REP,64,,
Pulaski,B107 Som 1 Courthouse,,Straight Party,,DEM ,23,,
Pulaski,B107 Som 1 Courthouse,"Harold ""Hal"" Rogers ",U.S. House,5,REP,201,,
Pulaski,B107 Som 1 Courthouse,Kenneth S Stepp,U.S. House,5,DEM ,78,,
Pulaski,B107 Som 1 Courthouse,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B107 Som 1 Courthouse,David Meade,State Representative,80,REP,196,,
Pulaski,B108 Som 3A Huffaker,,Ballots Cast,,DEM ,296,,
Pulaski,B108 Som 3A Huffaker,,Registered Voters,,REP,642,,
Pulaski,B108 Som 3A Huffaker,,Straight Party,,REP,72,,
Pulaski,B108 Som 3A Huffaker,,Straight Party,,DEM ,14,,
Pulaski,B108 Som 3A Huffaker,"Harold ""Hal"" Rogers ",U.S. House,5,REP,235,,
Pulaski,B108 Som 3A Huffaker,Kenneth S Stepp,U.S. House,5,DEM ,44,,
Pulaski,B108 Som 3A Huffaker,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B108 Som 3A Huffaker,David Meade,State Representative,80,REP,200,,
Pulaski,B109 Mt Zion 47,,Ballots Cast,,DEM ,293,,
Pulaski,B109 Mt Zion 47,,Registered Voters,,REP,728,,
Pulaski,B109 Mt Zion 47,,Straight Party,,REP,112,,
Pulaski,B109 Mt Zion 47,,Straight Party,,DEM ,8,,
Pulaski,B109 Mt Zion 47,"Harold ""Hal"" Rogers ",U.S. House,5,REP,257,,
Pulaski,B109 Mt Zion 47,Kenneth S Stepp,U.S. House,5,DEM ,29,,
Pulaski,B109 Mt Zion 47,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B109 Mt Zion 47,David Meade,State Representative,80,REP,237,,
Pulaski,B110 Eubank 25,,Ballots Cast,,DEM ,576,,
Pulaski,B110 Eubank 25,,Registered Voters,,REP,1245,,
Pulaski,B110 Eubank 25,,Straight Party,,REP,220,,
Pulaski,B110 Eubank 25,,Straight Party,,DEM ,26,,
Pulaski,B110 Eubank 25,"Harold ""Hal"" Rogers ",U.S. House,5,REP,490,,
Pulaski,B110 Eubank 25,Kenneth S Stepp,U.S. House,5,DEM ,70,,
Pulaski,B110 Eubank 25,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B110 Eubank 25,David Meade,State Representative,80,REP,473,,
Pulaski,B111 Estesburg 26,,Ballots Cast,,DEM ,257,,
Pulaski,B111 Estesburg 26,,Registered Voters,,REP,648,,
Pulaski,B111 Estesburg 26,,Straight Party,,REP,82,,
Pulaski,B111 Estesburg 26,,Straight Party,,DEM ,15,,
Pulaski,B111 Estesburg 26,"Harold ""Hal"" Rogers ",U.S. House,5,REP,209,,
Pulaski,B111 Estesburg 26,Kenneth S Stepp,U.S. House,5,DEM ,38,,
Pulaski,B111 Estesburg 26,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B111 Estesburg 26,David Meade,State Representative,80,REP,193,,
Pulaski,B112 Fall Branch 18,,Ballots Cast,,DEM ,330,,
Pulaski,B112 Fall Branch 18,,Registered Voters,,REP,667,,
Pulaski,B112 Fall Branch 18,,Straight Party,,REP,86,,
Pulaski,B112 Fall Branch 18,,Straight Party,,DEM ,9,,
Pulaski,B112 Fall Branch 18,"Harold ""Hal"" Rogers ",U.S. House,5,REP,275,,
Pulaski,B112 Fall Branch 18,Kenneth S Stepp,U.S. House,5,DEM ,39,,
Pulaski,B112 Fall Branch 18,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B112 Fall Branch 18,Jeff Hoover,State Representative,83,REP,267,,
Pulaski,B113 Norwood 42,,Ballots Cast,,DEM ,144,,
Pulaski,B113 Norwood 42,,Registered Voters,,REP,386,,
Pulaski,B113 Norwood 42,,Straight Party,,REP,53,,
Pulaski,B113 Norwood 42,,Straight Party,,DEM ,6,,
Pulaski,B113 Norwood 42,"Harold ""Hal"" Rogers ",U.S. House,5,REP,123,,
Pulaski,B113 Norwood 42,Kenneth S Stepp,U.S. House,5,DEM ,18,,
Pulaski,B113 Norwood 42,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,B113 Norwood 42,Tommy Turner,State Representative,85,REP,110,,
Pulaski,B113 Norwood 42,Mona Hampton-Eldridge,State Representative,85,W,21,,
Pulaski,C101 Som 2 City Hal,,Ballots Cast,,DEM ,195,,
Pulaski,C101 Som 2 City Hal,,Registered Voters,,REP,406,,
Pulaski,C101 Som 2 City Hal,,Straight Party,,REP,35,,
Pulaski,C101 Som 2 City Hal,,Straight Party,,DEM ,8,,
Pulaski,C101 Som 2 City Hal,"Harold ""Hal"" Rogers ",U.S. House,5,REP,147,,
Pulaski,C101 Som 2 City Hal,Kenneth S Stepp,U.S. House,5,DEM ,44,,
Pulaski,C101 Som 2 City Hal,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C101 Som 2 City Hal,David Meade,State Representative,80,REP,136,,
Pulaski,C102 Caney Fork 13,,Ballots Cast,,DEM ,727,,
Pulaski,C102 Caney Fork 13,,Registered Voters,,REP,1368,,
Pulaski,C102 Caney Fork 13,,Straight Party,,REP,189,,
Pulaski,C102 Caney Fork 13,,Straight Party,,DEM ,24,,
Pulaski,C102 Caney Fork 13,"Harold ""Hal"" Rogers ",U.S. House,5,REP,597,,
Pulaski,C102 Caney Fork 13,Kenneth S Stepp,U.S. House,5,DEM ,98,,
Pulaski,C102 Caney Fork 13,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C102 Caney Fork 13,Tommy Turner,State Representative,85,REP,511,,
Pulaski,C102 Caney Fork 13,Mona Hampton-Eldridge,State Representative,85,W,111,,
Pulaski,C103 Som 4A Rocky Hollow,,Ballots Cast,,DEM ,530,,
Pulaski,C103 Som 4A Rocky Hollow,,Registered Voters,,REP,1087,,
Pulaski,C103 Som 4A Rocky Hollow,,Straight Party,,REP,120,,
Pulaski,C103 Som 4A Rocky Hollow,,Straight Party,,DEM ,56,,
Pulaski,C103 Som 4A Rocky Hollow,"Harold ""Hal"" Rogers ",U.S. House,5,REP,382,,
Pulaski,C103 Som 4A Rocky Hollow,Kenneth S Stepp,U.S. House,5,DEM ,132,,
Pulaski,C103 Som 4A Rocky Hollow,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C103 Som 4A Rocky Hollow,David Meade,State Representative,80,REP,382,,
Pulaski,C104 Som 4B Meece Middle,,Ballots Cast,,DEM ,767,,
Pulaski,C104 Som 4B Meece Middle,,Registered Voters,,REP,1511,,
Pulaski,C104 Som 4B Meece Middle,,Straight Party,,REP,140,,
Pulaski,C104 Som 4B Meece Middle,,Straight Party,,DEM ,32,,
Pulaski,C104 Som 4B Meece Middle,"Harold ""Hal"" Rogers ",U.S. House,5,REP,610,,
Pulaski,C104 Som 4B Meece Middle,Kenneth S Stepp,U.S. House,5,DEM ,129,,
Pulaski,C104 Som 4B Meece Middle,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C104 Som 4B Meece Middle,David Meade,State Representative,80,REP,538,,
Pulaski,C105 Price 27,,Ballots Cast,,DEM ,696,,
Pulaski,C105 Price 27,,Registered Voters,,REP,1495,,
Pulaski,C105 Price 27,,Straight Party,,REP,223,,
Pulaski,C105 Price 27,,Straight Party,,DEM ,23,,
Pulaski,C105 Price 27,"Harold ""Hal"" Rogers ",U.S. House,5,REP,591,,
Pulaski,C105 Price 27,Kenneth S Stepp,U.S. House,5,DEM ,87,,
Pulaski,C105 Price 27,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C105 Price 27,Tommy Turner,State Representative,85,REP,530,,
Pulaski,C105 Price 27,Mona Hampton-Eldridge,State Representative,85,W,94,,
Pulaski,C106 Goodhope-Hazeldell 28,,Ballots Cast,,DEM ,613,,
Pulaski,C106 Goodhope-Hazeldell 28,,Registered Voters,,REP,1270,,
Pulaski,C106 Goodhope-Hazeldell 28,,Straight Party,,REP,241,,
Pulaski,C106 Goodhope-Hazeldell 28,,Straight Party,,DEM ,32,,
Pulaski,C106 Goodhope-Hazeldell 28,"Harold ""Hal"" Rogers ",U.S. House,5,REP,512,,
Pulaski,C106 Goodhope-Hazeldell 28,Kenneth S Stepp,U.S. House,5,DEM ,74,,
