county,precinct,candidate,office,district,party,votes,absentee_mail,absentee_walk_in
Pulaski,C106 Goodhope-Hazeldell 28,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C106 Goodhope-Hazeldell 28,Tommy Turner,State Representative,85,REP,488,,
Pulaski,C106 Goodhope-Hazeldell 28,Mona Hampton-Eldridge,State Representative,85,W,55,,
Pulaski,C110 Vaught 43,,Ballots Cast,,DEM ,769,,
Pulaski,C110 Vaught 43,,Registered Voters,,REP,1573,,
Pulaski,C110 Vaught 43,,Straight Party,,REP,217,,
Pulaski,C110 Vaught 43,,Straight Party,,DEM ,31,,
Pulaski,C110 Vaught 43,"Harold ""Hal"" Rogers ",U.S. House,5,REP,639,,
Pulaski,C110 Vaught 43,Kenneth S Stepp,U.S. House,5,DEM ,104,,
Pulaski,C110 Vaught 43,Billy Ray Wilson ,U.S. House,5,W,1,,
Pulaski,C110 Vaught 43,Tommy Turner,State Representative,85,REP,589,,
Pulaski,C110 Vaught 43,Mona Hampton-Eldridge,State Representative,85,W,116,,
Pulaski,C111 Catron 31,,Ballots Cast,,DEM ,225,,
Pulaski,C111 Catron 31,,Registered Voters,,REP,439,,
Pulaski,C111 Catron 31,,Straight Party,,REP,71,,
Pulaski,C111 Catron 31,,Straight Party,,DEM ,9,,
Pulaski,C111 Catron 31,"Harold ""Hal"" Rogers ",U.S. House,5,REP,190,,
Pulaski,C111 Catron 31,Kenneth S Stepp,U.S. House,5,DEM ,31,,
Pulaski,C111 Catron 31,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C111 Catron 31,Tommy Turner,State Representative,85,REP,182,,
Pulaski,C111 Catron 31,Mona Hampton-Eldridge,State Representative,85,W,24,,
Pulaski,C112 Dallas 45,,Ballots Cast,,DEM ,116,,
Pulaski,C112 Dallas 45,,Registered Voters,,REP,247,,
Pulaski,C112 Dallas 45,,Straight Party,,REP,43,,
Pulaski,C112 Dallas 45,,Straight Party,,DEM ,3,,
Pulaski,C112 Dallas 45,"Harold ""Hal"" Rogers ",U.S. House,5,REP,103,,
Pulaski,C112 Dallas 45,Kenneth S Stepp,U.S. House,5,DEM ,11,,
Pulaski,C112 Dallas 45,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C112 Dallas 45,Tommy Turner,State Representative,85,REP,101,,
Pulaski,C112 Dallas 45,Mona Hampton-Eldridge,State Representative,85,W,9,,
Pulaski,C113 Som 3C Saddlebrook,,Ballots Cast,,DEM ,81,,
Pulaski,C113 Som 3C Saddlebrook,,Registered Voters,,REP,140,,
Pulaski,C113 Som 3C Saddlebrook,,Straight Party,,REP,36,,
Pulaski,C113 Som 3C Saddlebrook,,Straight Party,,DEM ,3,,
Pulaski,C113 Som 3C Saddlebrook,"Harold ""Hal"" Rogers ",U.S. House,5,REP,68,,
Pulaski,C113 Som 3C Saddlebrook,Kenneth S Stepp,U.S. House,5,DEM ,10,,
Pulaski,C113 Som 3C Saddlebrook,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,C113 Som 3C Saddlebrook,Tommy Turner,State Representative,85,REP,61,,
Pulaski,C113 Som 3C Saddlebrook,Mona Hampton-Eldridge,State Representative,85,W,11,,
Pulaski,D101 Som 5A Memoria,,Ballots Cast,,DEM ,285,,
Pulaski,D101 Som 5A Memoria,,Registered Voters,,REP,739,,
Pulaski,D101 Som 5A Memoria,,Straight Party,,REP,75,,
Pulaski,D101 Som 5A Memoria,,Straight Party,,DEM ,31,,
Pulaski,D101 Som 5A Memoria,"Harold ""Hal"" Rogers ",U.S. House,5,REP,211,,
Pulaski,D101 Som 5A Memoria,Kenneth S Stepp,U.S. House,5,DEM ,64,,
Pulaski,D101 Som 5A Memoria,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D101 Som 5A Memoria,David Meade,State Representative,80,REP,205,,
Pulaski,D102 Rush Branch 14,,Ballots Cast,,DEM ,211,,
Pulaski,D102 Rush Branch 14,,Registered Voters,,REP,487,,
Pulaski,D102 Rush Branch 14,,Straight Party,,REP,78,,
Pulaski,D102 Rush Branch 14,,Straight Party,,DEM ,15,,
Pulaski,D102 Rush Branch 14,"Harold ""Hal"" Rogers ",U.S. House,5,REP,181,,
Pulaski,D102 Rush Branch 14,Kenneth S Stepp,U.S. House,5,DEM ,27,,
Pulaski,D102 Rush Branch 14,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D102 Rush Branch 14,Tommy Turner,State Representative,85,REP,172,,
Pulaski,D102 Rush Branch 14,Mona Hampton-Eldridge,State Representative,85,W,14,,
Pulaski,D103 Parker 9,,Ballots Cast,,DEM ,250,,
Pulaski,D103 Parker 9,,Registered Voters,,REP,610,,
Pulaski,D103 Parker 9,,Straight Party,,REP,90,,
Pulaski,D103 Parker 9,,Straight Party,,DEM ,15,,
Pulaski,D103 Parker 9,"Harold ""Hal"" Rogers ",U.S. House,5,REP,203,,
Pulaski,D103 Parker 9,Kenneth S Stepp,U.S. House,5,DEM ,38,,
Pulaski,D103 Parker 9,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D103 Parker 9,Tommy Turner,State Representative,85,REP,188,,
Pulaski,D103 Parker 9,Mona Hampton-Eldridge,State Representative,85,W,32,,
Pulaski,D104 Mark 30,,Ballots Cast,,DEM ,403,,
Pulaski,D104 Mark 30,,Registered Voters,,REP,838,,
Pulaski,D104 Mark 30,,Straight Party,,REP,131,,
Pulaski,D104 Mark 30,,Straight Party,,DEM ,11,,
Pulaski,D104 Mark 30,"Harold ""Hal"" Rogers ",U.S. House,5,REP,345,,
Pulaski,D104 Mark 30,Kenneth S Stepp,U.S. House,5,DEM ,49,,
Pulaski,D104 Mark 30,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D104 Mark 30,Tommy Turner,State Representative,85,REP,329,,
Pulaski,D104 Mark 30,Mona Hampton-Eldridge,State Representative,85,W,44,,
Pulaski,D105 Bourbon East 10E,,Ballots Cast,,DEM ,487,,
Pulaski,D105 Bourbon East 10E,,Registered Voters,,REP,1010,,
Pulaski,D105 Bourbon East 10E,,Straight Party,,REP,153,,
Pulaski,D105 Bourbon East 10E,,Straight Party,,DEM ,30,,
Pulaski,D105 Bourbon East 10E,"Harold ""Hal"" Rogers ",U.S. House,5,REP,386,,
Pulaski,D105 Bourbon East 10E,Kenneth S Stepp,U.S. House,5,DEM ,91,,
Pulaski,D105 Bourbon East 10E,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D105 Bourbon East 10E,Tommy Turner,State Representative,85,REP,352,,
Pulaski,D105 Bourbon East 10E,Mona Hampton-Eldridge,State Representative,85,W,87,,
Pulaski,D106 Mayfield 32,,Ballots Cast,,DEM ,332,,
Pulaski,D106 Mayfield 32,,Registered Voters,,REP,804,,
Pulaski,D106 Mayfield 32,,Straight Party,,REP,137,,
Pulaski,D106 Mayfield 32,,Straight Party,,DEM ,9,,
Pulaski,D106 Mayfield 32,"Harold ""Hal"" Rogers ",U.S. House,5,REP,293,,
Pulaski,D106 Mayfield 32,Kenneth S Stepp,U.S. House,5,DEM ,29,,
Pulaski,D106 Mayfield 32,Billy Ray Wilson ,U.S. House,5,W,1,,
Pulaski,D106 Mayfield 32,Tommy Turner,State Representative,85,REP,292,,
Pulaski,D106 Mayfield 32,Mona Hampton-Eldridge,State Representative,85,W,21,,
Pulaski,D107 Mt Victory 33,,Ballots Cast,,DEM ,165,,
Pulaski,D107 Mt Victory 33,,Registered Voters,,REP,383,,
Pulaski,D107 Mt Victory 33,,Straight Party,,REP,53,,
Pulaski,D107 Mt Victory 33,,Straight Party,,DEM ,7,,
Pulaski,D107 Mt Victory 33,"Harold ""Hal"" Rogers ",U.S. House,5,REP,140,,
Pulaski,D107 Mt Victory 33,Kenneth S Stepp,U.S. House,5,DEM ,24,,
Pulaski,D107 Mt Victory 33,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D107 Mt Victory 33,Tommy Turner,State Representative,85,REP,143,,
Pulaski,D107 Mt Victory 33,Mona Hampton-Eldridge,State Representative,85,W,10,,
Pulaski,D108 Ferguson 8,,Ballots Cast,,DEM ,268,,
Pulaski,D108 Ferguson 8,,Registered Voters,,REP,654,,
Pulaski,D108 Ferguson 8,,Straight Party,,REP,86,,
Pulaski,D108 Ferguson 8,,Straight Party,,DEM ,21,,
Pulaski,D108 Ferguson 8,"Harold ""Hal"" Rogers ",U.S. House,5,REP,217,,
Pulaski,D108 Ferguson 8,Kenneth S Stepp,U.S. House,5,DEM ,44,,
Pulaski,D108 Ferguson 8,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D108 Ferguson 8,David Meade,State Representative,80,REP,210,,
Pulaski,D109 Colo 35,,Ballots Cast,,DEM ,335,,
Pulaski,D109 Colo 35,,Registered Voters,,REP,829,,
Pulaski,D109 Colo 35,,Straight Party,,REP,127,,
Pulaski,D109 Colo 35,,Straight Party,,DEM ,13,,
Pulaski,D109 Colo 35,"Harold ""Hal"" Rogers ",U.S. House,5,REP,282,,
Pulaski,D109 Colo 35,Kenneth S Stepp,U.S. House,5,DEM ,44,,
Pulaski,D109 Colo 35,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D109 Colo 35,Tommy Turner,State Representative,85,REP,274,,
Pulaski,D109 Colo 35,Mona Hampton-Eldridge,State Representative,85,W,32,,
Pulaski,D110 Gilliland 40,,Ballots Cast,,DEM ,682,,
Pulaski,D110 Gilliland 40,,Registered Voters,,REP,1525,,
Pulaski,D110 Gilliland 40,,Straight Party,,REP,237,,
Pulaski,D110 Gilliland 40,,Straight Party,,DEM ,21,,
Pulaski,D110 Gilliland 40,"Harold ""Hal"" Rogers ",U.S. House,5,REP,569,,
Pulaski,D110 Gilliland 40,Kenneth S Stepp,U.S. House,5,DEM ,95,,
Pulaski,D110 Gilliland 40,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D110 Gilliland 40,Tommy Turner,State Representative,85,REP,529,,
Pulaski,D110 Gilliland 40,Mona Hampton-Eldridge,State Representative,85,W,81,,
Pulaski,D111 Som 5C Mall,,Ballots Cast,,DEM ,225,,
Pulaski,D111 Som 5C Mall,,Registered Voters,,REP,599,,
Pulaski,D111 Som 5C Mall,,Straight Party,,REP,67,,
Pulaski,D111 Som 5C Mall,,Straight Party,,DEM ,20,,
Pulaski,D111 Som 5C Mall,"Harold ""Hal"" Rogers ",U.S. House,5,REP,179,,
Pulaski,D111 Som 5C Mall,Kenneth S Stepp,U.S. House,5,DEM ,39,,
Pulaski,D111 Som 5C Mall,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D111 Som 5C Mall,Tommy Turner,State Representative,85,REP,155,,
Pulaski,D111 Som 5C Mall,Mona Hampton-Eldridge,State Representative,85,W,35,,
Pulaski,D113 Som 5E Grand Central,,Ballots Cast,,DEM ,141,,
Pulaski,D113 Som 5E Grand Central,,Registered Voters,,REP,375,,
Pulaski,D113 Som 5E Grand Central,,Straight Party,,REP,37,,
Pulaski,D113 Som 5E Grand Central,,Straight Party,,DEM ,14,,
Pulaski,D113 Som 5E Grand Central,"Harold ""Hal"" Rogers ",U.S. House,5,REP,112,,
Pulaski,D113 Som 5E Grand Central,Kenneth S Stepp,U.S. House,5,DEM ,26,,
Pulaski,D113 Som 5E Grand Central,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D113 Som 5E Grand Central,David Meade,State Representative,80,REP,104,,
Pulaski,D115 Som 6 South End,,Ballots Cast,,DEM ,201,,
Pulaski,D115 Som 6 South End,,Registered Voters,,REP,631,,
Pulaski,D115 Som 6 South End,,Straight Party,,REP,53,,
Pulaski,D115 Som 6 South End,,Straight Party,,DEM ,19,,
Pulaski,D115 Som 6 South End,"Harold ""Hal"" Rogers ",U.S. House,5,REP,149,,
Pulaski,D115 Som 6 South End,Kenneth S Stepp,U.S. House,5,DEM ,46,,
Pulaski,D115 Som 6 South End,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,D115 Som 6 South End,David Meade,State Representative,80,REP,144,,
Pulaski,E101 Burnside City 36,,Ballots Cast,,DEM ,247,,
Pulaski,E101 Burnside City 36,,Registered Voters,,REP,510,,
Pulaski,E101 Burnside City 36,,Straight Party,,REP,80,,
Pulaski,E101 Burnside City 36,,Straight Party,,DEM ,14,,
Pulaski,E101 Burnside City 36,"Harold ""Hal"" Rogers ",U.S. House,5,REP,191,,
Pulaski,E101 Burnside City 36,Kenneth S Stepp,U.S. House,5,DEM ,41,,
Pulaski,E101 Burnside City 36,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E101 Burnside City 36,Tommy Turner,State Representative,85,REP,171,,
Pulaski,E101 Burnside City 36,Mona Hampton-Eldridge,State Representative,85,W,39,,
Pulaski,E103 Burnside County 36A,,Ballots Cast,,DEM ,782,,
Pulaski,E103 Burnside County 36A,,Registered Voters,,REP,1985,,
Pulaski,E103 Burnside County 36A,,Straight Party,,REP,252,,
Pulaski,E103 Burnside County 36A,,Straight Party,,DEM ,41,,
Pulaski,E103 Burnside County 36A,"Harold ""Hal"" Rogers ",U.S. House,5,REP,651,,
Pulaski,E103 Burnside County 36A,Kenneth S Stepp,U.S. House,5,DEM ,112,,
Pulaski,E103 Burnside County 36A,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E103 Burnside County 36A,Ken Upchurch ,State Representative,52,REP,611,,
Pulaski,E103 Burnside County 36A,Dean Sumpter,State Representative,52,DEM ,133,,
Pulaski,E104 East Burnside County 36E,,Ballots Cast,,DEM ,351,,
Pulaski,E104 East Burnside County 36E,,Registered Voters,,REP,1189,,
Pulaski,E104 East Burnside County 36E,,Straight Party,,REP,117,,
Pulaski,E104 East Burnside County 36E,,Straight Party,,DEM ,48,,
Pulaski,E104 East Burnside County 36E,"Harold ""Hal"" Rogers ",U.S. House,5,REP,259,,
Pulaski,E104 East Burnside County 36E,Kenneth S Stepp,U.S. House,5,DEM ,84,,
Pulaski,E104 East Burnside County 36E,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E104 East Burnside County 36E,Tommy Turner,State Representative,85,REP,253,,
Pulaski,E104 East Burnside County 36E,Mona Hampton-Eldridge,State Representative,85,W,48,,
Pulaski,E105 Bourbon West 10W,,Ballots Cast,,DEM ,612,,
Pulaski,E105 Bourbon West 10W,,Registered Voters,,REP,1446,,
Pulaski,E105 Bourbon West 10W,,Straight Party,,REP,173,,
Pulaski,E105 Bourbon West 10W,,Straight Party,,DEM ,45,,
Pulaski,E105 Bourbon West 10W,"Harold ""Hal"" Rogers ",U.S. House,5,REP,498,,
Pulaski,E105 Bourbon West 10W,Kenneth S Stepp,U.S. House,5,DEM ,98,,
Pulaski,E105 Bourbon West 10W,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E105 Bourbon West 10W,Ken Upchurch ,State Representative,52,REP,463,,
Pulaski,E105 Bourbon West 10W,Dean Sumpter,State Representative,52,DEM ,129,,
Pulaski,E107 West Burnside Co 36W,,Ballots Cast,,DEM ,116,,
Pulaski,E107 West Burnside Co 36W,,Registered Voters,,REP,267,,
Pulaski,E107 West Burnside Co 36W,,Straight Party,,REP,41,,
Pulaski,E107 West Burnside Co 36W,,Straight Party,,DEM ,4,,
Pulaski,E107 West Burnside Co 36W,"Harold ""Hal"" Rogers ",U.S. House,5,REP,97,,
Pulaski,E107 West Burnside Co 36W,Kenneth S Stepp,U.S. House,5,DEM ,17,,
Pulaski,E107 West Burnside Co 36W,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E107 West Burnside Co 36W,Ken Upchurch ,State Representative,52,REP,93,,
Pulaski,E107 West Burnside Co 36W,Dean Sumpter,State Representative,52,DEM ,21,,
Pulaski,E108 Gamblin 37,,Ballots Cast,,DEM ,461,,
Pulaski,E108 Gamblin 37,,Registered Voters,,REP,1433,,
Pulaski,E108 Gamblin 37,,Straight Party,,REP,185,,
Pulaski,E108 Gamblin 37,,Straight Party,,DEM ,31,,
Pulaski,E108 Gamblin 37,"Harold ""Hal"" Rogers ",U.S. House,5,REP,377,,
Pulaski,E108 Gamblin 37,Kenneth S Stepp,U.S. House,5,DEM ,68,,
Pulaski,E108 Gamblin 37,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E108 Gamblin 37,Tommy Turner,State Representative,85,REP,354,,
Pulaski,E108 Gamblin 37,Mona Hampton-Eldridge,State Representative,85,W,39,,
Pulaski,E109 Bronston North 38,,Ballots Cast,,DEM ,222,,
Pulaski,E109 Bronston North 38,,Registered Voters,,REP,609,,
Pulaski,E109 Bronston North 38,,Straight Party,,REP,89,,
Pulaski,E109 Bronston North 38,,Straight Party,,DEM ,12,,
Pulaski,E109 Bronston North 38,"Harold ""Hal"" Rogers ",U.S. House,5,REP,187,,
Pulaski,E109 Bronston North 38,Kenneth S Stepp,U.S. House,5,DEM ,32,,
Pulaski,E109 Bronston North 38,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E109 Bronston North 38,Ken Upchurch ,State Representative,52,REP,181,,
Pulaski,E109 Bronston North 38,Dean Sumpter,State Representative,52,DEM ,32,,
Pulaski,E110 Som 5D Neighborhood,,Ballots Cast,,DEM ,128,,
Pulaski,E110 Som 5D Neighborhood,,Registered Voters,,REP,287,,
Pulaski,E110 Som 5D Neighborhood,,Straight Party,,REP,32,,
Pulaski,E110 Som 5D Neighborhood,,Straight Party,,DEM ,18,,
Pulaski,E110 Som 5D Neighborhood,"Harold ""Hal"" Rogers ",U.S. House,5,REP,95,,
Pulaski,E110 Som 5D Neighborhood,Kenneth S Stepp,U.S. House,5,DEM ,31,,
Pulaski,E110 Som 5D Neighborhood,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E110 Som 5D Neighborhood,Ken Upchurch ,State Representative,52,REP,85,,
Pulaski,E110 Som 5D Neighborhood,Dean Sumpter,State Representative,52,DEM ,35,,
Pulaski,E111 Bronston South 38,,Ballots Cast,,DEM ,608,,
Pulaski,E111 Bronston South 38,,Registered Voters,,REP,1544,,
Pulaski,E111 Bronston South 38,,Straight Party,,REP,209,,
Pulaski,E111 Bronston South 38,,Straight Party,,DEM ,48,,
Pulaski,E111 Bronston South 38,"Harold ""Hal"" Rogers ",U.S. House,5,REP,471,,
Pulaski,E111 Bronston South 38,Kenneth S Stepp,U.S. House,5,DEM ,124,,
Pulaski,E111 Bronston South 38,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E111 Bronston South 38,Tommy Turner,State Representative,85,REP,431,,
Pulaski,E111 Bronston South 38,Mona Hampton-Eldridge,State Representative,85,W,71,,
Pulaski,E112 Sloans Valley 39,,Ballots Cast,,DEM ,250,,
Pulaski,E112 Sloans Valley 39,,Registered Voters,,REP,659,,
Pulaski,E112 Sloans Valley 39,,Straight Party,,REP,93,,
Pulaski,E112 Sloans Valley 39,,Straight Party,,DEM ,21,,
Pulaski,E112 Sloans Valley 39,"Harold ""Hal"" Rogers ",U.S. House,5,REP,206,,
Pulaski,E112 Sloans Valley 39,Kenneth S Stepp,U.S. House,5,DEM ,40,,
Pulaski,E112 Sloans Valley 39,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,E112 Sloans Valley 39,Tommy Turner,State Representative,85,REP,191,,
Pulaski,E112 Sloans Valley 39,Mona Hampton-Eldridge,State Representative,85,W,18,,